City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Grytviken,-54.2811,-36.5092,30.47,78,100,11.72,GS,1683751565
81,Invercargill,-46.4,168.35,47.01,95,78,3.0,NZ,1683751565
82,Zhänibek,49.4167,46.85,53.35,87,100,2.39,KZ,1683751292
83,Coronel Suárez,-37.4547,-61.9334,54.43,42,66,7.74,AR,1683751566
84,Yeongju,36.8217,128.6308,50.95,77,28,3.09,KR,1683751566
85,Arkhangelsk,64.5401,40.5433,43.97,87,93,5.84,RU,1683751566
86,Minas de Marcona,-15.2119,-75.1103,67.15,62,0,13.42,PE,1683751566
87,Masterton,-40.9597,175.6575,51.89,92,72,4.47,NZ,1683751567
88,Natal,-5.795,-35.2094,83.05,78,20,13.8,BR,1683751327
89,Tangalle,6.024,80.7911,79.65,87,100,11.63,LK,1683751568
90,Ancud,-41.8697,-73.8203,54.66,96,100,8.08,CL,1683751568
91,Vila do Maio,15.1333,-23.2167,74.19,84,7,13.04,CV,1683751568
92,Okha,53.5739,142.9478,32.25,89,92,4.68,RU,1683751536
93,Dudinka,69.4058,86.1778,-8.41,99,19,6.4,RU,1683751569
94,Dzhezkazgan,47.7833,67.7667,68.58,19,100,7.4,KZ,1683751569
95,Santa Pola,38.1917,-0.5658,69.26,85,75,5.75,ES,1683751569
96,Ponta Delgada,37.7333,-25.6667,63.32,88,75,16.11,PT,1683751149
97,Lautoka,-17.6167,177.4667,73.26,83,20,6.91,FJ,1683751569
98,Sibiti,-3.6819,13.3499,70.79,96,46,1.05,CG,1683751570
99,Albany,42.6001,-73.9662,71.92,30,2,1.99,US,1683751570
100,Lihue,21.9789,-159.3672,78.39,71,75,14.97,US,1683751570
101,St. John's,47.5649,-52.7093,48.15,40,40,23.02,CA,1683751395
102,Östersund,63.1792,14.6357,55.85,35,0,5.75,SE,1683751571
103,Kristiansund,63.1115,7.732,51.85,87,75,1.14,NO,1683751571
104,Guerrero Negro,27.9769,-114.0611,65.98,54,42,23.47,MX,1683751572
105,Vorgashor,67.5833,63.95,21.06,97,100,3.47,RU,1683751572
106,Naze,28.3667,129.4833,59.92,64,33,5.73,JP,1683751572
107,Xinzhou,38.4092,112.7333,54.43,60,28,3.47,CN,1683751572
108,Enewetak,11.3474,162.3373,81.57,84,80,15.52,MH,1683751573
109,Saint Paul Harbor,57.79,-152.4072,42.31,93,100,24.16,US,1683751573
110,Kazygurt,41.7589,69.3864,64.74,40,99,4.68,KZ,1683751573
111,East London,-33.0153,27.9116,67.51,55,11,9.57,ZA,1683751574
112,Luwuk,-0.9516,122.7875,78.1,93,100,5.32,ID,1683751574
113,Kapit,2.0167,112.9333,73.74,96,84,0.56,MY,1683751574
114,Tacuarembó,-31.7333,-55.9833,57.58,60,4,6.46,UY,1683751314
115,Ribeira Grande,38.5167,-28.7,64.8,77,20,14.97,PT,1683751580
116,La Passe,45.5549,-0.8967,56.98,80,98,11.56,FR,1683751580
117,Hermanus,-34.4187,19.2345,61.81,92,79,11.34,ZA,1683751483
118,Kingaroy,-26.5333,151.8333,50.5,94,4,7.02,AU,1683751581
119,Puerto Ayora,-0.7393,-90.3518,84.16,92,54,5.99,EC,1683751471
